01/01/2000: PI8-2391237
02/01/2000: PI8-310615
03/01/2000: PI8-3038934
04/01/2000: PI8-2329047
05/01/2000: PI8-700275
06/01/2000: PI8-735313
07/01/2000: PI8-2372522
08/01/2000: PI8-432042
09/01/2000: PI8-1994830
10/01/2000: PI8-334096
11/01/2000: PI8-874184
12/01/2000: PI8-151927
13/01/2000: PI8-76713
14/01/2000: PI8-1523712
15/01/2000: PI8-441413
16/01/2000: PI8-750718
17/01/2000: PI8-107715
18/01/2000: PI8-393987
19/01/2000: PI8-255171
20/01/2000: PI8-1585333
21/01/2000: PI8-849245
22/01/2000: PI8-61411
23/01/2000: PI8-954094
24/01/2000: PI8-1341968
25/01/2000: PI8-1386959
26/01/2000: PI8-1011095
27/01/2000: PI8-901124
28/01/2000: PI8-189621
29/01/2000: PI8-810011
30/01/2000: PI8-2243789
31/01/2000: PI8-1229767
01/02/2000: PI8-1675967
02/02/2000: PI8-1014563
03/02/2000: PI8-1596748
04/02/2000: PI8-276192
05/02/2000: PI8-183443
06/02/2000: PI8-72157
07/02/2000: PI8-2050179
08/02/2000: PI8-443937
09/02/2000: PI8-360468
10/02/2000: PI8-2929757
11/02/2000: PI8-289987
12/02/2000: PI8-864682
13/02/2000: PI8-1526556
14/02/2000: PI8-393673
15/02/2000: PI8-140352
16/02/2000: PI8-1541234
17/02/2000: PI8-1049009
18/02/2000: PI8-1047665
19/02/2000: PI8-1030906
20/02/2000: PI8-108848
21/02/2000: PI8-234004
22/02/2000: PI8-631266
23/02/2000: PI8-567741
24/02/2000: PI8-1082513
25/02/2000: PI8-2290626
26/02/2000: PI8-1087275
27/02/2000: PI8-112674
28/02/2000: PI8-259850
29/02/2000: PI8-2499186
30/02/2000: PI8-135200
31/02/2000: PI8-1317421
01/03/2000: PI8-605838
02/03/2000: PI8-3517465
03/03/2000: PI8-1702328
04/03/2000: PI8-131211
05/03/2000: PI8-106129
06/03/2000: PI8-100959
07/03/2000: PI8-3291745
08/03/2000: PI8-1071112
09/03/2000: PI8-2834962
10/03/2000: PI8-2656073
11/03/2000: PI8-275006
12/03/2000: PI8-505903
13/03/2000: PI8-1142303
14/03/2000: PI8-893402
15/03/2000: PI8-661842
16/03/2000: PI8-372747
17/03/2000: PI8-493633
18/03/2000: PI8-817846
19/03/2000: PI8-575440
20/03/2000: PI8-1837770
21/03/2000: PI8-521650
22/03/2000: PI8-929139
23/03/2000: PI8-832210
24/03/2000: PI8-1041753
25/03/2000: PI8-3454103
26/03/2000: PI8-149711
27/03/2000: PI8-1885399
28/03/2000: PI8-927335
29/03/2000: PI8-732792
30/03/2000: PI8-277923
31/03/2000: PI8-1500031
01/04/2000: PI8-371726
02/04/2000: PI8-285212
03/04/2000: PI8-387531
04/04/2000: PI8-549178
05/04/2000: PI8-1050001
06/04/2000: PI8-1172
07/04/2000: PI8-1091754
08/04/2000: PI8-1029234
09/04/2000: PI8-142719
10/04/2000: PI8-1165261
11/04/2000: PI8-73958
12/04/2000: PI8-790662
13/04/2000: PI8-3078225
14/04/2000: PI8-1043328
15/04/2000: PI8-2102653
16/04/2000: PI8-754401
17/04/2000: PI8-987419
18/04/2000: PI8-158450
19/04/2000: PI8-430095
20/04/2000: PI8-1244700
21/04/2000: PI8-353354
22/04/2000: PI8-2307912
23/04/2000: PI8-201693
24/04/2000: PI8-853469
25/04/2000: PI8-1882109
26/04/2000: PI8-1569038
27/04/2000: PI8-1658188
28/04/2000: PI8-577596
29/04/2000: PI8-986056
30/04/2000: PI8-1081589
31/04/2000: PI8-196172
01/05/2000: PI8-1528939
02/05/2000: PI8-625846
03/05/2000: PI8-29985
04/05/2000: PI8-246745
05/05/2000: PI8-248712
06/05/2000: PI8-557780
07/05/2000: PI8-923439
08/05/2000: PI8-190617
09/05/2000: PI8-130639
10/05/2000: PI8-49668
11/05/2000: PI8-144593
